text,assignment,gender,years_of_English,major,uni_year
"Many way can improve a person's appearance, such as dress, culture, language style, psychological quality and so on. I feel the best way to improve a person's appearance is the cultural level. When a person's cultural level, he knows a lot of things will, language conversation will be level, natural self cognitive consciousness, understand how to dress yourself up in what place. Culture will improve is to improve their psychological quality, sudden events - not disorderly. So the cultural level is a method to improve a person's appearance is very good.But simply raising the cultural level or not, the all-round development is to just go, personal practice, cultural level, speech, dress is essential. So, a person wants to improve himself not only improve one aspect, only every aspects are ready, to get the maximum improvement.",10,Female,7,Business Administration,Junior
"In Chian, when people small talk often avoid age problem.Because women hate someone ask her age，Both sides are very embarrassed。And,when people small talk often avoid wages problem,It is not polite。",1,Male,6,Chemical & Biological Engineering ,Sophomore
"When I was a kid，I just learned to ride a bike，One time when I ride a bike,i almost fell into the river,I am very afraid。When I was in high school，I go to the park on a roller coaster，It is very exciting。",2,Male,6,Chemical & Biological Engineering ,Sophomore
I like watching movies very much，like action movies and thrillers.There is a Korean movie is wonderful，it names is monster.I like it very much，That's very exciting。,3,Male,6,Chemical & Biological Engineering ,Sophomore
"I don't think it is necessary，because this is a personal interest in questions，for example, I don't like it.If you like, you can do it.I think everyone has the right to choose their own。。",4,Male,6,Chemical & Biological Engineering ,Sophomore
"If you are the manager of a hotel, I will use the best bed, Because the customers can very comfortable to rest。Provide free food，According to the customer's taste。So the customer may come next time，The hotel must luxury and clean. Make the customer happy。",5,Male,6,Chemical & Biological Engineering ,Sophomore
"I am come from china. In my country, people usually stay slim easily.
There are some reasons: first, in china, people have good  habits,we eat less of meat ,but lots of Vegetables; second, We like all kinds of sports, such as basketball, volleyball, swimming, table tennis, running and so on; third, we  have a good sleep habits, sleep early and get up early too; the last, we also have a good state of mind, not to eat lots of food when we are in the sad.
So, how to keep slim, do what we do, you will be more Healthy.",11,Male,5,Business Administration,Junior
"Everyone has to eat.The food we eat helps us grow in different ways.  I think people are eating healthier they used to. Because eating healthy food is a big part of a good quality of life Now the economical high speed development.So people'ideas from the previous full uped to now eat well changed.
I think Some food gives us fast energy,such as rice,noodles,potatoes,sugar,   
bread and so on.Some food gives us slow energy,such as oils,nuts,cream and so on.Some food can help us to grow bones,such as meat,eggs,cheese,   
and milk.Some food gives fibre for digestion and health,such as all vegetables(e.g.beans,mushrooms...)and all fruits((e.g.apples,oranges,   
lemons...).   
  thank you",12,Male,5,Business Administration,Junior
"I think people are eating less healthy foods than they used to. 
There are three reasons: first,the global environment pollution is more and more serious. air, water, and land are polluted, so the food is polluted too; second, people have  bad eating habits than they used to, they always like to eat unhealthy food; third, business make the production quality has lots of problems, causing food 's nutrition is also one of the main reasons.
The above points are proved that people are eating less healthy foods than they used to.",12,Male,5,Business Administration,Junior
"A child's behavior is affected by many factors--biological, social, emotional and environmental. And the emotional and environmental effects depend largely on the parents and family environment. In many ways, parent's behavior can affect a child's development.

Such as the home environment, it can influence children's behavior negatively or positively. In homes where there is frequent domestic turmoil, a child may behave a certain way in reaction to the lack of security she feels.

Also, Children's behavior is strongly influenced by factors such as physical, sexual and mental abuse suffered at the hands of parents or other family members. Children of abuse have a strong chance of repeating the cycle of abuse when they are adults if they do not receive counseling or therapy.",14,Male,5,Business Administration,Junior
"Painting must be something I like most, since it is silence while penaltratting into people's mind. You can touch the soul of the painter through a painting. You can get no matter what feeling you want in the paintings. As we know, a picture speaks thousands of words hence, to capture something live is so natural and real. To do painting，it can train our patience, and the way we look at thing around us. 

Art is generally understood as any activity or product done by people with a communicative or aesthetic purpose—something that expresses an idea, an emotion or, more generally, a world view. I think that in the art, painting is the best expression of emotion.",15,Male,5,Business Administration,Junior
"One day, my mouse is messing up. it isn't working. When I click on a 'bookmark' to highlight it and open it the mouse quits and takes several times of having to click to get it to work. First, I try to uninstal the new version of Firefox and rolling back to the previous version. Then, I log onto the Firefox website to see if there are any reported problems with their new release. But it does not solve the problem .

At last, I Try a new mouse. Fortunately, it begin to work. the problem is resolved.",17,Male,5,Business Administration,Junior
"I think I don't. Contrary, it is playing an important part in our daily life. On the internet, I can read news at home and abroad and get as much information as I can. I can send e-mails or make phone calls to my family as well as to my friends. I can read many books and even teach myself English. I can also enjoy music, watch matches and play computer games on the internet. 
Of course, we should not be given to the internet, or we'll get our life and study destroyed. besides, we should keep off the harmful websites. Anyhow, this doesn't prevent the internet becoming my friend. we can't throw away the apple because of the core, can we?",18,Male,5,Business Administration,Junior
"My values is different from my parent's. The different point is manifested in many ways. For example, my father always say:""learning can change your fate"" , but I dou't think so. I think it is knowledge, not learning.  Learning is only the way to get knowledge, but it's not itself.  My parents believe that their life is for the children, and the children should be obedient to their wishes. I even have a very different values. In my opinion, my life is belong to me, and I do not need to explain to other people, including my parents.",20,Male,5,Business Administration,Junior
"In my country, the people stay slim is difficlt,and the people are aways struggle  with watching their weight.
  Because Chinese food made with a lot of oils,we are crazy about meat so we are almost every meal with meat.And our staple food is rice and
pasta.This is also the reason of make people fat.And taking late-night snack is very popular in China.So in my country, the people stay slim is difficlt.
  But we are aways struggle  with watching our weight.The Chinese pay attention to appearance. We think thin is symbol of beautiful.A part of people couldn't resist food so they give up struggle  with watching their weight,another part of people struggle  with watching their weight and give up food.",11,Female,9,International Trade & Commerce ,Junior
"I do not think people are eating healthier than they used to. The people are eating no longer in order to survive. We enjoy food and therefote spend a fairy long time at the table . We want to try more new food. Globalism let people that at any time and in any place to eat food from other countries. The traffic convenience make people  walking opportunities are fewer--It makes us struggle with watching our weight that we eat more and more, but acting less and less.",12,Female,9,International Trade & Commerce ,Junior
"I think the best way do a parent’s behavior affect a child’s is demonstration not oral education.
When a child no self control ability,they will make their parents as imitation of the object.If parents let  the oral education as the only way to education children,the children is very easy to produce rebel mood,also can't cultivate children's autonomy.If parents' behavior with their education children's oral education not consistent,the child will lose respect for parents.",14,Female,9,International Trade & Commerce ,Junior
"I'm not an art lover. I don't distinguished myself in the art. But I'm interesting in Fashion.I think in art everything is about emotion, and Fashion is not exceptional also.
  I think most people don't understand fashion, but we all the time follow the fashion,and most of our money goes on fashion. Fashion change very quickly,It seems to change weekly.This brings us a freshness and a lot of topics.When the season changed I can feel people banding  together to get  consumers interested in fashion,to make it fun again to go into stores.
  I didn't want to be a fashion designer,I just think  we cannot live without fashion.",15,Female,9,International Trade & Commerce ,Junior
"Sometimes I am worry about useing the Inthernet.When I want to enjoy the service in the Internet,I must join the member in the Internet and must fill out my detailed material.It makes me insecurity,because I am worry about my personal information leak out,and my e-mail will be filled by advertising mail.
  I won't leave a message on the Internet easily.Because when I leave a message  on the Internet,I'm not sure if I can cause damage to someone,But I have to be responsible for what I said.",18,Female,9,International Trade & Commerce ,Junior
"Yes, I think my valuse is different from my parent's.
  My parents think the most important thing in the world is money. They think that accept education only purpose is to get a good job that make me stable and independent. They don't agree with my dreams and think me naive impractical. They even refused to communicate with me and let me accept their values.
  I think if someone put money as the most important thing in the world is a sad thing. My dream is to realize my value. Although my strength is very small but I believe that it is also the power make this world get better.",20,Female,9,International Trade & Commerce ,Junior
"I think that the society, people increasingly unhealthy diet.
To make food more delicious.
Invention, a variety of food additives
Practical added food additives food,Very bad for people's health
People's eating habits have a big problem
The vegetarian fewer.
The unreasonable eating habits obesity plaguing people now",12,Male,10,Korean Language & Literature ,Junior
"The character of different colors like.
Love yellow people, personality uncertain refreshing, innocent, sociable
People love to use green, strong-willed and not easily shaken or change the emphasis on rational, arrogant.
Love blue very emotional security also need peace, harmony, and meet life",13,Male,10,Korean Language & Literature ,Junior
"There is no doubt that a child's development is affected by many factors, like biological, social, emotional and environmental, but a parent's behavior plays a really importent role on it.
As we all know , Children's behavior is strongly influenced by factors about physical and mental from parents or other family members. When growing up , children are gradually changing . Of course , parents' effect cannot be ignored . Firstly , on the life, it's important that parents set the right examples for their children in the daily live. Negative examples can be detrimental to a child's development and can lead to bad behavior. What ' more ,on the social skills , Children model their parents and learn from them, like the basic polite ""please"" and ""thank you"" to speaking in front of crowds. The last but not the least , on the psychology , for example , a parent's reaction to stress affects the way a child reacts to stress. If a parent reacts negatively, a child will learn to react negatively as well. 
All in all, parents' behavior greatly affect their children's development in many ways . So as parents,they should pay more attention to themselves .",14,Male,10,Korean Language & Literature ,Junior
